date,S&P 500 Materials,S&P 500 Industrials,S&P 500 Consumer Discretionary,S&P 500 Consumer Staples,S&P 500 Health Care,S&P 500 Financials,S&P 500 Information Technology,S&P 500 Communication Services,S&P 500 Utilities,S&P 500 Real Estate
2015-01-05,-0.02711196578510382,-0.023475087042222238,-0.020073126665614165,-0.007723109123900692,-0.00611881967388096,-0.021157466658187445,-0.017815389878748304,-0.010159045296134442,-0.01317065009956067,0.0019403261367906006
2015-01-06,-0.007012898084170608,-0.011915493293528671,-0.009483033917763877,-0.00014172527376427009,-0.0026736951933652347,-0.015435740402333562,-0.012304272044234711,0.0034853471035895247,0.0012159303906683011,0.010682406921651287
2015-01-07,0.009965041800358534,0.00608147098223306,0.015190642739252944,0.017301321266407627,0.02244608706923601,0.010983907989433541,0.00861406739293952,-0.01354901958601532,0.00971631183133111,0.015021700424284063
2015-01-08,0.02344018180406975,0.019731531875734464,0.014752407245857968,0.015009674976589343,0.017049833601037498,0.014631732671342844,0.022460436092191567,0.015319946264271779,0.00703003867232009,0.005042106117203453
2015-01-09,-0.005019115119699709,-0.010951206315868128,-0.011474952829297193,-0.008069333644429395,-0.008119627757170175,-0.013463191875415984,-0.002809116103969846,-0.006640675033242905,-0.0065321955811131725,0.0014722369541114277
2015-01-12,-0.003096189635850914,-0.006620273200338959,-0.004741518184978163,-0.0034443010011425304,-0.0006765292335123883,-0.008519031965851936,-0.013532982886173339,0.005591608207243137,-0.0026581375395950562,0.005059971203265003
2015-01-13,-0.011680192477584032,-0.001948067229260686,-0.0011798931150348824,-0.00013882767374651285,-0.004872327279038388,-0.003384506843606964,-0.0006469197393222557,0.0011800478470370844,0.0031557961657367036,-0.002881082236028016
2015-01-14,-0.011953262286688691,-0.0057391056986802235,-0.011587035411382606,-0.0026410909068564745,-0.000977290478044431,-0.014284606523030137,-0.005323493274859938,-0.0042022347385751455,0.009407945280107452,0.0057538108845233025
2015-01-15,-0.001284304795103118,-0.005750706745030279,-0.012565540293102345,0.001490209589671811,-0.010763995243486561,-0.012860440075680185,-0.014731250791670389,-6.57641516031431e-05,0.007120631780872432,0.002513195631277488
2015-01-16,0.016370075919852196,0.00675210502143089,0.013035967388837031,0.007811962819480792,0.018997934729855278,0.011913412518610377,0.00909678299628819,0.01638146948516893,0.008809907029222292,0.007352428843292165
2015-01-20,0.0010641726697208796,0.007721749643612279,-0.00644218212034283,0.0035790319089044342,-0.0007490779099690967,-0.0038602795900321944,0.008159698105304824,0.004392255710705231,0.0022610346223803906,-0.006499388310195331
2015-01-21,0.00979002872924066,0.007201120480156261,0.0061707749020715194,0.002979322700033209,0.0010927733494546115,0.0019320507948690977,0.0014590330118660665,0.0018029546016919027,0.009832119245077727,-0.003215272322154697
2015-01-22,0.012949469741723788,0.01614947938110215,0.018819783244497734,0.010706740139995789,0.01262093444754782,0.024195454151195842,0.019354300265837412,-0.0055480472515285675,-0.00440249690834563,0.020223829687714683
2015-01-23,-0.016114105592185513,-0.007813245592856313,-0.0015993613774269591,-0.010687209559002452,-0.004737072470404556,-0.010150761452154076,0.0016598106330891575,-0.011974608099691909,0.0033636212879283723,0.0
2015-01-26,0.0046775677194931245,0.0016423443843034484,0.005728004437582208,-0.000176147381278596,0.004446221047420635,0.004731197524737017,-0.0043791367453528875,-0.004330455204136897,-0.0004398353223522803,0.007614327512544973
2015-01-27,-0.007488018166039468,-0.013025368676512536,-0.007900008423204753,-0.01232932049005326,-0.007555680431624887,-0.010990802761849253,-0.03328188683848513,-0.011440760190330291,0.0016783757295927744,-0.0017142552781628103
2015-01-28,-0.018142502625080232,-0.00949375485283731,-0.013511710744215826,-0.011540500742639313,-0.014702091749822652,-0.019849753348244164,-0.0006590908487964632,-0.005937106606946242,-0.009467338643246156,-0.008170963122521632
2015-01-29,0.013363195486798755,0.011742969759737133,0.013101730505221882,0.007708446260510358,0.008503145531002333,0.009149354161874053,0.010716015417553692,0.0032730414202093187,0.013213356579256305,0.0007410582952658833
2015-01-30,-0.004534803967496463,-0.016363812926079475,-0.010846083577760625,-0.018957918973205222,-0.015455391815819002,-0.016348916643133826,-0.014393915888477582,-0.005483443326504613,-0.022649115258406946,-0.01844241573732799
2015-02-02,0.009380394360217018,0.014850887218601403,0.008864865550217852,0.013032061853966381,0.0061711209327570335,0.016063281986705383,0.010353549943741743,0.02404958488119761,0.004344181997267263,0.001106145325608525
2015-02-03,0.02148647248122021,0.015627742604640615,0.021282357064183428,0.008468969829508689,0.006503095087640092,0.016746298626545225,0.010262108609630682,0.021564714110922235,0.004204439175296117,0.007609188977716691
2015-02-04,-0.006208486309606725,-0.008127683232781223,0.0066588015698304135,0.0009321815213042348,-0.013573244353854165,-0.003001194686919243,0.0012219883550857798,0.0008325374873545808,-0.012952664568056682,-0.004448336058334894
2015-02-05,0.02412857336208576,0.009699868161547007,0.005993160205483103,0.004233467546177261,0.016280686805393116,0.009938153412217128,0.009096263999656715,0.00236562317458895,0.008586191172398568,0.01185149628996035
2015-02-06,-0.003092181954236521,-0.0022763152181008873,-0.001382507437702846,-0.004689492989842768,-0.008478961693232482,0.007258626111866813,-0.006333742855975758,0.01835035760598099,-0.04220732705548443,-0.028112844167496216
2015-02-09,-0.0007665216037967108,-0.00273843568337929,-0.003534085393608987,-0.006945964854516774,-0.01149348299579581,-0.004132480933699649,-0.0014978026711128009,-0.0026368558224556036,-0.009043324202188006,-0.0038770123060103984
2015-02-10,0.007353785813355369,0.005841201684991259,0.012229397114117104,0.011280078216790198,0.015476605558346514,0.00717472263683147,0.015746961059119553,0.008076888626173733,0.02059928820002897,0.004691321769483164
2015-02-11,-0.002763250702373951,-0.0007024427686246222,0.0002571663422142743,0.005710463356262035,0.001122751466473413,-0.0005217776730199414,0.004229668364961544,-0.0019975495425884142,-0.024188253073263964,-0.004129248156102556
2015-02-12,0.017373128198157086,0.008601922930730302,0.011384080711606652,0.0045449717192893565,0.0033484836703638102,0.010444159425920817,0.016260295392214574,-0.0013129802010252102,-0.005321696099968674,0.009507229285472719
2015-02-13,0.00843516441140826,0.004681377242945655,0.005677488367658828,-0.005035971691453599,0.005050832277053977,-0.001003076283390215,0.007089651503937049,-0.0014400385785393786,-0.015830980797711496,-0.006599694122110486
2015-02-17,0.0010532725096298109,0.0016506143612496284,-0.0017369509845580977,-0.0001178710781951882,0.006350650469732053,0.003945552142289591,-4.2260558510542284e-05,-0.000814898843655008,-0.0009622588154672788,-0.0022436521575490047
2015-02-18,0.0022268317636870605,0.0050368335527552896,-0.001148403568660307,0.004586886991271924,0.0016511293221182393,-0.006533760949426725,0.0015609087027739943,-0.008122245626426192,0.02335541618123269,0.008235914079163532
2015-02-19,0.002684136180538483,-0.00010127494530200266,0.003020170131419183,-0.006218964051432356,0.0009093941300304753,-0.004430611474259054,0.003982709930148969,-0.0053880568975676595,-0.011004227125214342,-0.021804500691153954
2015-02-20,0.00378261687210514,0.009236764337014036,0.007535915451681416,0.0028298060725950535,0.01023714546147822,0.008052212499942953,0.006264350980222089,0.000698926920204728,0.0004321598180263592,0.010193641342935378
2015-02-23,-0.0015974553613643187,-0.004043192421260968,-0.0006021030298687465,0.0027435277842867267,0.0034608806639103793,-0.003560565869414935,0.0015704003268770365,-0.005796771709236202,0.006674246098336348,0.006840310419344334
2015-02-24,0.004080626337680517,0.003059007427834784,0.0039073067884864724,0.00308729991128267,-0.0005859480373070928,0.00504806936115953,0.0015956939813267582,0.006050761843748629,0.006118354497141287,-0.0214940805734001
2015-02-25,-0.0026980788777723457,-0.0004421779701258538,0.007868520935634775,-0.0026568533684516627,0.0001315543469183658,0.0005154824381836069,-0.006718973828420947,0.001839864404319603,-0.016471727346173717,0.0025437005317910837
2015-02-26,-0.007271911992037421,-0.004816243811496682,-0.0038434943867115064,0.0008994642606656531,0.0025204980043999105,-0.0029755935529618706,0.006663461167288656,0.0049317168826018415,-0.007486438537847816,-0.008486786481556746
2015-02-27,-0.0023220904098378106,-0.004352529511653737,-0.0012623070770831763,0.004193111591743225,-0.004603745618049135,-0.00408299537401112,-0.005324472576028192,0.0025196479250519255,-0.0009616279343930526,0.007397398682443972
2015-03-02,0.006827087350240419,0.008384467812935364,0.011911426919599724,0.0018277677720346616,0.008437870334826155,0.008119165376440033,0.00968247481575483,0.0008175636924369961,-0.019741411177298458,0.00450530337388959
2015-03-03,-0.006207298007703672,-0.006823494409196206,-0.0024334992530022715,-0.004400080584120238,-0.008569699045773966,-0.0025472201267211286,-0.007983313162203005,-0.0014468327111023355,0.007111168204581103,-0.0034678132578733465
2015-03-04,-0.0036620755695824813,-0.007951971713210007,-0.006159524157733769,-0.00781581082954207,0.003935879886483672,-0.007650290306793036,-0.003261546229351012,-0.011969360547228091,-0.006308600352703244,-0.009533566444645996
2015-03-05,-0.003987664580038538,0.0012651414173209601,0.0012581278048842963,0.0033571074624836926,0.003920522037688283,0.004182878071059089,-0.0012293148336217443,-0.0010199112123867836,0.007636341400513582,0.005064630335625889
2015-03-06,-0.013418863516618884,-0.01350925231542726,-0.012468722029900216,-0.01941423792141883,-0.019309209446964473,-0.007584770311219043,-0.011570547359061342,-0.014777031041248254,-0.03122100726472612,-0.030672320247062377
2015-03-09,0.001075183836285366,0.008602985128671392,0.005312852853562942,0.004506148166275383,0.005320798996103815,0.004472198304351319,0.004908857897501193,-0.0027221364041926746,0.001094566154970947,0.007330325693229575
2015-03-10,-0.015960103775397607,-0.01855333364430008,-0.01668436553577825,-0.015012599848736647,-0.011474886126988638,-0.021407852988971268,-0.02210959241457525,-0.015698969714204133,-0.0016422640060497007,-0.004702396640359404
2015-03-11,-0.0006745521520322143,-0.0007936444616784861,-0.004772302040012078,-0.007805345573341588,-0.00041490978243981073,0.006256473031056055,-0.0069582174807652775,0.0001318760180242426,-0.006596159949770258,-0.0005893574192396282
2015-03-12,0.012517671637646461,0.012581911302632549,0.0199558762389969,0.013042237427983118,0.012685442785310428,0.021609879535443705,0.0052736613667295484,0.017836005570046186,0.018757710673210727,0.016741066133083855
2015-03-13,-0.009918233290582374,-0.009202905643166462,-0.00725195931638584,-0.007501247535346846,-0.001579919114059014,-0.00688652187107531,-0.005259160869512599,-0.005323945073035222,-0.010154697409503756,-0.0037490167513852014
2015-03-16,-0.0011224081091754875,0.016234356789040682,0.010866583324153018,0.011931116329628616,0.021646932220812896,0.011703169399812079,0.012052061554268887,0.008362781285442279,0.016852662357588442,0.012302975242584785
2015-03-17,-0.011585808114962515,-0.004064818439603242,-0.005201217329135268,-0.007125443511400344,-0.0027677576383625326,-0.0020874066561950744,0.0005580606811795562,-0.004140253123804354,-0.0017488374424369459,-0.004031678164193406
2015-03-18,0.015620556075115732,0.011535315499131853,0.008753171607314968,0.006165002279491562,0.012804248148754777,0.0053158172388385,0.012594317644857559,0.015566007155199063,0.026791086164520986,0.02051219187405798
2015-03-19,-0.01760264003548258,-0.006856082717683412,-0.0017577862356305488,-0.004595050914577056,0.00531810414975609,-0.00980782850503361,-0.0017107020097895337,-0.008396124374362988,-0.00992409002738726,-0.002624926340215065
2015-03-20,0.006806956823086251,0.005146479341902817,0.010648517214341392,0.011994866106096793,0.007809088954264754,0.012695457113715577,0.005278172104783631,0.004174893867313637,0.0092684793035371,0.02277516024351441
2015-03-23,-0.0007433017266911641,-0.007544895678324565,-0.0011995721250096475,0.0026394660664802254,-0.002831513412464314,-0.004394924197806081,0.0008863633391990129,0.0014090901826970667,0.0011797900043621643,-0.0004030928337846337
2015-03-24,-0.002848829557825068,-0.003721790165958613,-0.005060208925710052,-0.006661671339117454,-0.008683260364305716,-0.00866571877640244,-0.002929397258860782,-0.005262203727159398,-0.011817311972658845,-0.006522223045054419
2015-03-25,-0.011280838065872942,-0.016995034692321647,-0.01625972391634711,-0.0020972061497025758,-0.018535064064782957,-0.015023565839326274,-0.027018660629763786,-0.014452121038046575,-0.01231641824124567,-0.018171631442235294
2015-03-26,0.001867193518047286,-0.002979841698354077,-0.006369068365544127,-0.0038662922351073176,-0.0027272211233641814,-0.0015457865354890886,0.0006373798978182514,-0.0005876544318770715,-0.008040508426946981,-0.004919342746923537
2015-03-27,-0.0007202528479682642,0.00404793627384982,0.0051421592390827895,0.005604249527121565,0.007378482405054446,-0.0012383330373721766,0.0016495180503841322,-0.00039206126785903505,0.005217967283597982,0.0021778498225240536
2015-03-30,0.012788748417732143,0.013596335361390334,0.009922781623487406,0.009376685408036097,0.009824473620518621,0.013507734748844936,0.01151380730088115,0.008588259361515657,0.01297129175112679,0.011433411059037467
2015-03-31,-0.008964233120834888,-0.009606391264951034,-0.004555961781197811,-0.008758143828691639,-0.014582810940635777,-0.006900280129911267,-0.009448551870058422,-0.009307288156088155,-0.0005316309911350251,-0.010501451720818207
2015-04-01,0.0012063944740718718,-0.008121967265389662,-0.004509538019345144,0.0005185055156560669,-0.01250751023760841,-0.0018173969909251262,-0.004424590533302705,0.008270188870913863,0.0011071501235407942,0.00015522899070740366
2015-04-02,0.0011398809085307673,0.0015121631428246802,0.008948928759432043,0.006399070405343608,0.0022977544838755997,0.005779311976969269,-0.0006378326259121323,0.008716801624467477,0.0026080757436198025,0.007114845596549769
2015-04-06,0.008071978945084697,0.007422516620709379,0.004701439987430102,0.008108743639086303,0.0013329236710063622,0.0009192019738120911,0.009826560971105718,0.004041898375728944,0.012677551580506105,0.011188154693175937
2015-04-07,-0.0011953257527073829,-0.0013757467834256815,-0.005234465710890599,-0.0039771262218275035,0.0025528468530168955,-0.004388937319941783,-0.001451320128786593,-0.005779210339066625,-0.01086924408111004,-0.014584557733526848
2015-04-08,0.00213124481730002,0.002083811563756825,0.009171356641701168,0.000532546147073427,0.00847455917307061,0.003408462581700017,0.0024272415095479612,-0.007433497160991929,-0.0028684025259996123,0.0007214232298135495
2015-04-09,0.0033169622197461363,0.006349617684090869,0.0009076638995658026,0.003542798531148396,0.007720528714585723,0.0013172384737272639,0.003994306057171004,-0.0004543127607533842,-0.0047842823660845645,-0.017459526546265924
2015-04-10,0.002472471376347644,0.017794996975014833,0.003194636568335727,0.0011977525537230525,0.008420748096624206,0.0,0.003864449153544381,0.00330499447099751,0.007828972821423133,-0.0022040214500943884
2015-04-13,-0.004016908561123966,-0.010786839192890052,-0.005291607493019585,-0.004977236685986581,-0.0062207659075023515,0.0027819943471029595,-0.0034359257770528394,-0.0014891782467928221,-0.010452287907548591,-0.003104428031801185
2015-04-14,0.004209307097179043,0.0011905953966087973,-0.0007440862869768878,0.0022261071308013,0.0017963598866533668,0.00033580839805806545,-0.003376137345532711,-0.0009723132848977624,0.005594023284253035,0.004049569214707091
2015-04-15,0.010271882023794093,0.0014145919022135187,3.3113669234923195e-05,-0.0025022208491500405,0.002706176603940201,0.004354629148640548,0.008745811388370935,0.005303971512707018,0.0019019752126034242,-0.004207669718706335
2015-04-16,-0.003115104282706981,-0.0028106230080261487,0.0021148817557515,0.0036232564917587874,-0.0006085516259568401,0.0010629599172102995,-0.0029162869264162646,-0.004396416752438901,-0.00607235599895054,0.005151998463610212
2015-04-17,-0.008408030417502783,-0.011467634783890245,-0.014798765818698935,-0.009082906024127355,-0.00805100129951968,-0.013476356444283872,-0.014508065156229034,-0.008524519052644628,-0.003429111200263101,-0.005415581677419347
2015-04-20,0.006974442401528875,0.010974467003788298,0.01059760175947632,0.003998777037607837,0.005401919595265908,0.004940964633271572,0.017708432095946743,0.010466538340096226,0.014746206602061128,0.0016330649657634855
2015-04-21,-0.007841710374729029,-0.002325377100243618,0.0007290361113843277,0.001046528802818355,0.006737824634943649,-0.005464155323227151,-0.0006534093136766222,-0.00207164780305879,-0.009673444544284702,-0.0008425236611488917
2015-04-22,0.0024712203986092416,0.004460724871668147,0.0014399246219524448,0.001084842132820365,0.0015842524021968613,0.006993675380773117,0.010868523136024552,0.006459553600676281,0.0025267299288340324,0.002104899472390147
2015-04-23,0.0023691069826318957,-0.0014162469099343734,0.004636700150905304,-0.005178481558098627,0.003833767297836864,0.0010692924161863002,0.0019940505666654748,0.02215942839423121,0.0061791658726341485,0.001943179322142498
2015-04-24,0.008216302447204879,-0.004157645284618749,0.013311531646007515,-0.0003171215191408652,-0.003193796366226986,-0.0025681692395457733,0.009938934196123848,-0.0032800699166286905,0.009807820816787056,0.0006817697450203595
2015-04-27,0.008809822257601404,-0.0005364233798426104,-0.008499617907083907,-0.004968016247062962,-0.017791985730432787,-0.003127364146452452,0.003604872770119429,0.0005684637521795213,-0.012451370403560029,-0.001049136911652185
2015-04-28,0.0006599458443280688,0.0027203201813626823,-0.0034464282139062452,0.0003585083029605161,0.003876348629044022,0.005939737374221689,0.0016871078447945511,0.015166037215300339,0.007121513953939651,-0.00041997917543054077
2015-04-29,0.00028279651234825576,-0.005075611747224619,-0.006647440605807387,-0.00785711869187016,-0.008005571706173026,0.0001526787176517958,-0.004847587715632316,-0.0014938724245288325,-0.0034225518279337066,-0.021494807393373346
2015-04-30,-0.007756445572111556,-0.008683949082486157,-0.01155197454211961,-0.0034784263665543474,-0.014588197574974529,-0.007444522570530615,-0.015869610414692308,-0.002806956668217662,-0.012962170026574692,-0.013285238759915956
2015-05-01,0.017352445681819977,0.011884984011604323,0.013899248870756702,0.008843145552315374,0.013338890362526827,0.007932770295683641,0.01457758589687253,-0.002814857857453121,0.005639089827622943,0.007258557048814926
2015-05-04,-0.003271655436525898,0.0014629224520689675,0.0018804991853202085,0.0015161385115313398,0.005887563030361371,0.009714948429698977,-6.949456958737646e-05,0.003002227272431971,0.007279149265749376,0.0009710737770328167
2015-05-05,-0.011299219730430708,-0.01307668155302074,-0.010336678157787493,-0.007322529665351407,-0.011786020226613007,-0.00837351830779411,-0.015764245351968357,-0.015672958014798517,-0.0230774451590952,-0.021638675537896397
2015-05-06,0.0,-0.001607539982303771,-0.004188207115446276,0.0021061896474045974,-0.004765565600589902,-0.005958710937134773,-0.008125861271914118,-0.01180579795913532,-0.00591009171415703,-0.002593040034170087
2015-05-07,0.004754971735217935,0.005479932652757266,0.004754229884957496,0.0020018023388458906,0.004705701054523471,0.0065982755828232235,0.006443724150087504,0.0007699892578020118,0.004244384554963331,0.014478696123816128
2015-05-08,0.01592549544602962,0.011856683335839202,0.010874171082554287,0.009117428136922122,0.016073941386430746,0.013818368610973424,0.015233354408798904,0.009130784977104274,0.007630527356558525,0.01529140567390741
2015-05-11,-0.005114606144389906,-0.0016440699134476738,-0.0042395475782350586,-0.004667766457386299,-0.0003182747578295854,-0.0034593997906741452,-0.005589026532095341,-0.006824270476040343,-0.007044932961530262,-0.014747119311197883
2015-05-12,-0.01040256327927296,-0.000802507584002694,-0.0020023702828357217,-0.0015541232884488832,-0.005011049226832639,-0.003682934587468634,-0.005395052093947578,0.0002560055378353468,-0.003021687761029514,0.0014139420838888085
2015-05-13,-0.002515386652071934,0.0016454514522280066,-0.006147853056249362,-0.0005185985878384581,-0.00022514404920515686,0.0003325884883061578,0.004624129400115116,0.0019813854231805436,-0.010579645826072454,-0.009335949147724572
2015-05-14,0.010864741344509724,0.009307124801278755,0.004290881209442926,0.015186182009535898,0.014027369885951093,0.008879619343117314,0.01716950005457092,0.005349285789027089,0.010489357133084628,0.018100789661288405
2015-05-15,0.004102210144602498,-0.000957398456009084,0.0074402643837208245,0.0031782085791018408,0.002054598765842223,-0.004354724744827796,-0.0033689159928908773,0.0015231677351701706,0.012523980403925158,0.008688685091167983
2015-05-18,-0.00357291131446461,0.0019952589024267893,0.004142526365939411,-0.0027460031210035244,0.005477706926859986,0.005582538636604828,0.004113017459148482,0.005186552254990119,0.003517954049362642,-0.004066757092449353
2015-05-19,-0.004898552096739763,-0.002647642786337163,-0.00022971296194812917,-0.0033446403476354637,0.004732368838141933,0.006414463062709445,-0.0025099407206404818,-0.008171542024890907,0.0022644793454435676,-0.0009119340176038147
2015-05-20,-0.0016277127576243109,-0.0036570133423807537,-0.0014778728700740075,-0.0023676227643845615,0.0014303401354501103,-0.003634746106313085,4.137976660624931e-05,0.00463240179714732,0.0016396499172713068,-0.0032253218706285954
2015-05-21,0.004157968097695714,0.0050428362615185796,0.0035922624411221303,0.0015396133539897568,-0.0004381217496827301,-0.0023607372043033146,0.003569820329716614,0.007191548870986388,-0.0005314692207491784,-0.005831874951577977
2015-05-22,-0.0017486267019065902,-0.004388063015640013,-0.001638699920983623,-0.004645804064767454,-0.0025980489649611894,-0.0008680162429158998,0.00020630395951330154,-0.007951540785781511,-0.0017736519766153437,0.0005955475869952469
2015-05-26,-0.012200273636885675,-0.010879413895830225,-0.0062846848327972995,-0.007139115958092783,-0.009724431512090775,-0.009023703404574939,-0.014353232731750622,-0.003745180523700341,-0.006858225607715466,-0.005971413706065894
2015-05-27,0.006715999738610194,0.005608727139321975,0.006711021218658225,0.005651861463513614,0.011272557790300501,0.00911352683488984,0.01801929333301615,0.006971261126587894,0.0031231763967985294,0.008728001497659128
2015-05-28,0.002134583560988455,-0.004203609182075622,-0.0023141068655891154,-0.0010722114949384255,0.0006693483345022119,-0.0010185021130045264,-0.0010696176408930553,-0.002466088688092552,0.0025804251526005515,-0.002918967180240628
2015-05-29,-0.006859448224656091,-0.009961043066979104,-0.006892119138376488,-0.006537401568235756,-0.0024024510213369998,-0.009395098019118484,-0.007519277023087522,-0.0053323070826832445,-0.0016898874082632899,-0.010830868811935485
